MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.014000 ms
DPCP-ROP	0	1	1	0.008000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.011000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.006000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.034000 ms
DPCP	0	1	1	0.011000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.034000 ms
DPCP	0	1	1	0.014000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.062000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.020000 ms
DPCP	0	1	1	0.009000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.030000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.005000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.020000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.005000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.026000 ms
DPCP	0	1	1	0.013000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.016000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.015000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.006000 ms
MPCP	0	1	1	0.035000 ms
DPCP	0	1	1	0.021000 ms
DPCP-ROP	0	1	1	0.008000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.012000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.036000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.012000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.012000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.028000 ms
DPCP	0	1	1	0.011000 ms
DPCP-ROP	0	1	1	0.008000 ms
MSRP-GS	0	1	1	0.006000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.042000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.030000 ms
DPCP	0	1	1	0.013000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.032000 ms
DPCP	0	1	1	0.014000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.010000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.035000 ms
DPCP	0	1	1	0.018000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.028000 ms
DPCP	0	1	1	0.015000 ms
DPCP-ROP	0	1	1	0.013000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.030000 ms
DPCP	0	1	1	0.012000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.034000 ms
DPCP	0	1	1	0.020000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.011000 ms
MPCP	0	1	1	0.026000 ms
DPCP	0	1	1	0.014000 ms
DPCP-ROP	0	1	1	0.008000 ms
MSRP-GS	0	1	1	0.007000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.013000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.034000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.009000 ms
