MPCP	0	1	1	0.565000 ms
DPCP	0	1	1	0.025000 ms
DPCP-ROP	0	1	1	0.017000 ms
MSRP-GS	0	1	1	0.006000 ms
MPCP	0	1	1	0.028000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.012000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.039000 ms
DPCP	0	1	1	0.018000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.039000 ms
DPCP	0	1	1	0.020000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.038000 ms
DPCP	0	1	1	0.015000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.026000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.040000 ms
DPCP	0	1	1	0.016000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.120000 ms
DPCP	0	1	1	0.016000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.040000 ms
DPCP	0	1	1	0.019000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.071000 ms
DPCP	0	1	1	0.018000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.048000 ms
DPCP	0	1	1	0.009000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.076000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.011000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.015000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.027000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.015000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.034000 ms
DPCP	0	1	1	0.015000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.022000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.039000 ms
MSRP-GS	0	1	1	0.056000 ms
MPCP	0	1	1	0.022000 ms
DPCP	0	1	1	0.009000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.006000 ms
MPCP	0	1	1	0.022000 ms
DPCP	0	1	1	0.011000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.048000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.016000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.009000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.031000 ms
DPCP	0	1	1	0.013000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.031000 ms
DPCP	0	1	1	0.017000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.020000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.030000 ms
DPCP	0	1	1	0.013000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.010000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.022000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.023000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.022000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.007000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.032000 ms
DPCP	0	1	1	0.016000 ms
DPCP-ROP	0	1	1	0.010000 ms
MSRP-GS	0	1	1	0.009000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.021000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.025000 ms
DPCP	0	1	1	0.009000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.005000 ms
MPCP	0	1	1	0.045000 ms
DPCP	0	1	1	0.010000 ms
DPCP-ROP	0	1	1	0.006000 ms
